T,H,I,R1,R2,dR1,dR2,T,H,I,R1,R2,dR1,dR2,T,H,I,R1,R2,dR1,dR2,T,H,I,R1,R2,dR1,dR2
K,Oe,mA,Ohm,Ohm,Ohm,Ohm,K,Oe,mA,Ohm,Ohm,Ohm,Ohm,K,Oe,mA,Ohm,Ohm,Ohm,Ohm,K,Oe,mA,Ohm,Ohm,Ohm,Ohm
As Grown,As Grown,As Grown,As Grown,As Grown,As Grown,As Grown,3 nm,3 nm,3 nm,3 nm,3 nm,3 nm,3 nm,7 nm,7 nm,7 nm,7 nm,7 nm,7 nm,7 nm,20 nm,20 nm,20 nm,20 nm,20 nm,20 nm,20 nm
266.3233,312.857,0.102153342753992,3.09201309947563,--,4.78201651442861E-4,--,267.3634,312.857,0.102153342753992,40.1630776334084,--,0.0270052890701716,--,264.2172,312.857,0.102153342753992,10.3427180131225,--,0.00161249584938096,--,271.90945,312.857,0.102153342753992,12.5339195946533,--,0.00180212134725492,--
265.5058,312.857,0.102153342753992,,1.41336452383126,,2.08364899559609E-4,266.83695,312.857,0.102153342753992,,0.72934117018615,,2.0303589213021E-4,263.45685,312.857,0.102153342753992,,0.170985462821109,,6.16296327411092E-5,271.43585,312.857,0.102153342753992,,2.41330144594243,,3.83315783089831E-4
264.91085,312.857,0.102153342753992,3.08514860392599,--,4.63642794154386E-4,--,266.27895,312.857,0.102153342753992,40.1150421423925,--,0.0269113601533078,--,262.8405,312.857,0.102153342753992,10.3293091951592,--,0.00160643517697556,--,270.8043,312.857,0.102153342753992,12.5262170825816,--,0.00184936815659822,--
264.0924,312.857,0.102153342753992,,1.41082419829343,,2.02186176675415E-4,265.77495,312.857,0.102153342753992,,0.728530610302294,,2.08051291577181E-4,262.0509,312.857,0.102153342753992,,0.170877270247428,,6.95390453253607E-5,270.3338,312.857,0.102153342753992,,2.41188278494606,,4.07125072722118E-4
263.4575,312.857,0.102153342753992,3.07829944833859,--,4.72951712923119E-4,--,265.1819,312.857,0.102153342753992,40.0601621468858,--,0.0266762048040316,--,261.33185,312.857,0.102153342753992,10.3162104074789,--,0.00166334271948644,--,269.7887,312.857,0.102153342753992,12.5190685038005,--,0.00188280178199556,--
262.6717,312.857,0.102153342753992,,1.40870172662576,,2.01108486042038E-4,264.65525,312.857,0.102153342753992,,0.728361191790133,,1.71255913490641E-4,260.55735,312.857,0.102153342753992,,0.170719350773427,,6.86419175972932E-5,269.32855,312.857,0.102153342753992,,2.41030845892731,,3.96189535854574E-4
262.0977,312.857,0.102153342753992,3.07313623626026,--,4.70804685324687E-4,--,264.04835,312.857,0.102153342753992,40.3168046846999,--,0.0300529677338341,--,260.01915,312.857,0.102153342753992,10.3034468490343,--,0.00166581407058696,--,268.778,312.857,0.102153342753992,12.5118339623377,--,0.00180828602969055,--
261.2635,312.857,0.102153342753992,,1.40645302290282,,2.06046011027348E-4,263.53835,312.857,0.102153342753992,,0.728611624271334,,2.03731962759459E-4,259.25745,312.857,0.102153342753992,,0.17058753342596,,5.72863268683706E-5,268.3104,312.857,0.102153342753992,,2.40950103246981,,3.81035500848515E-4
260.71175,312.857,0.102153342753992,3.06625893449944,--,4.68466486391458E-4,--,262.9699,312.857,0.102153342753992,40.1588631128634,--,0.027891971725378,--,258.6371,312.857,0.102153342753992,10.290303878709,--,0.00157891096313596,--,267.6805,312.857,0.102153342753992,12.5040146582016,--,0.00190668289714079,--
259.9022,312.857,0.102153342753992,,1.40406207183514,,2.17014001417054E-4,262.4629,312.857,0.102153342753992,,0.727990254376063,,1.86949171731265E-4,257.8744,312.857,0.102153342753992,,0.170378487219552,,6.42013375903916E-5,267.22865,312.857,0.102153342753992,,2.40727885822527,,3.85836610585247E-4
